"comparison","grouping_variable","groups","n_groups","venn_plotted","venn_style","upset_plotted","rationale"
"diet_global","diet_code","Ctrl;BL15;BL30",3,TRUE,"publication-style circular Venn; set radii scaled by core genera set size",TRUE,"Global Ctrl-BL15-BL30 comparison; central contrast for treatment-specific core genera."
"hydro_global","hydro_group","Ctrl;Hydrolysate",2,TRUE,"publication-style circular Venn; set radii scaled by core genera set size",TRUE,"Primary global contrast combining BL15 and BL30 as Hydrolysate."
"diet_D07","diet_code","Ctrl;BL15;BL30",3,TRUE,"publication-style circular Venn; set radii scaled by core genera set size",TRUE,"Time-resolved Ctrl-BL15-BL30 contrast; useful to identify day-specific shared and exclusive core genera."
"hydro_D07","hydro_group","Ctrl;Hydrolysate",2,TRUE,"publication-style circular Venn; set radii scaled by core genera set size",TRUE,"Time-resolved Ctrl versus Hydrolysate contrast; directly addresses whether hydrolysate-associated cores differ by day."
"diet_D30","diet_code","Ctrl;BL15;BL30",3,TRUE,"publication-style circular Venn; set radii scaled by core genera set size",TRUE,"Time-resolved Ctrl-BL15-BL30 contrast; useful to identify day-specific shared and exclusive core genera."
"hydro_D30","hydro_group","Ctrl;Hydrolysate",2,TRUE,"publication-style circular Venn; set radii scaled by core genera set size",TRUE,"Time-resolved Ctrl versus Hydrolysate contrast; directly addresses whether hydrolysate-associated cores differ by day."
"diet_D90","diet_code","Ctrl;BL15;BL30",3,TRUE,"publication-style circular Venn; set radii scaled by core genera set size",TRUE,"Time-resolved Ctrl-BL15-BL30 contrast; useful to identify day-specific shared and exclusive core genera."
"hydro_D90","hydro_group","Ctrl;Hydrolysate",2,TRUE,"publication-style circular Venn; set radii scaled by core genera set size",TRUE,"Time-resolved Ctrl versus Hydrolysate contrast; directly addresses whether hydrolysate-associated cores differ by day."
"time_Ctrl","timepoint","D07;D30;D90",3,FALSE,,TRUE,"Temporal overlap within one diet is retained as UpSet and tables; 3-way Venns are less readable for this question."
"time_BL15","timepoint","D07;D30;D90",3,FALSE,,TRUE,"Temporal overlap within one diet is retained as UpSet and tables; 3-way Venns are less readable for this question."
"time_BL30","timepoint","D07;D30;D90",3,FALSE,,TRUE,"Temporal overlap within one diet is retained as UpSet and tables; 3-way Venns are less readable for this question."
"ctrl_hydro_feed_global","ctrl_hydro_feed","Ctrl;Hydrolysate;Feed",3,TRUE,"publication-style circular Venn; set radii scaled by core genera set size",TRUE,"Global contrast to evaluate whether core taxa from fish intestine overlap with feed-associated taxa."
